country,source,data.economy.population_below_poverty_line.value,data.people.languages.date,data.people.languages.language,data.people.languages.note,data.people.languages.note_1,data.people.languages.note_2,data.people.languages.note_3,data.people.languages.overseas_departments,data.people.literacy.total_population.value,data.people.population.total
Falkland Islands (Islas Malvinas),https://web.archive.org/web/20170715174539/https://www.cia.gov/library/publications/the-world-factbook/geos/fk.html,,2006,"[{""name"":""English"",""percent"":89},{""name"":""Spanish"",""percent"":7.7},{""name"":""other"",""percent"":3.3}]",,,,,,,2931
Faroe Islands,https://web.archive.org/web/20170715174710/https://www.cia.gov/library/publications/the-world-factbook/geos/fo.html,4.2,2011,"[{""name"":""Faroese"",""percent"":93.8,""note"":""derived from Old Norse""},{""name"":""Danish"",""percent"":3.2},{""name"":""other"",""percent"":3}]",,,,,,,50456
Fiji,https://web.archive.org/web/20170729071534/https://www.cia.gov/library/publications/the-world-factbook/geos/fj.html,31,,"[{""name"":""English"",""note"":""official""},{""name"":""Fijian"",""note"":""official""},{""name"":""Hindustani""}]",,,,,,,915303
Finland,https://web.archive.org/web/20170729071624/https://www.cia.gov/library/publications/the-world-factbook/geos/fi.html,,2016,"[{""name"":""Finnish"",""percent"":88.3,""note"":""official""},{""name"":""Swedish"",""percent"":5.3,""note"":""official""},{""name"":""Russian"",""percent"":1.4},{""name"":""other"",""percent"":5}]",,,,,,,5498211
France,https://web.archive.org/web/20170729071625/https://www.cia.gov/library/publications/the-world-factbook/geos/fr.html,14,,"[{""name"":""French"",""percent"":100,""note"":""official""},{""name"":""declining regional dialects and languages"",""note"":""Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish, Occitan, Picard""}]",,,,,"French, Creole patois, Mahorian (a Swahili dialect)",,66836154
French Polynesia,https://web.archive.org/web/20170715181521/https://www.cia.gov/library/publications/the-world-factbook/geos/fp.html,19.7,2012,"[{""name"":""French"",""percent"":70,""note"":""official""},{""name"":""Polynesian"",""percent"":28.2,""note"":""official""},{""name"":""other"",""percent"":1.8}]",,,,,,,285321
Gabon,https://web.archive.org/web/20170729071449/https://www.cia.gov/library/publications/the-world-factbook/geos/gb.html,,,"[{""name"":""French"",""note"":""official""},{""name"":""Fang""},{""name"":""Myene""},{""name"":""Nzebi""},{""name"":""Bapounou/Eschira""},{""name"":""Bandjabi""}]",,,,,,83.2,1738541
"Gambia, The",https://web.archive.org/web/20170729071450/https://www.cia.gov/library/publications/the-world-factbook/geos/ga.html,48.4,,"[{""name"":""English"",""note"":""official""},{""name"":""Mandinka""},{""name"":""Wolof""},{""name"":""Fula""},{""name"":""other indigenous vernaculars""}]",,,,,,55.5,2009648
Gaza Strip,https://web.archive.org/web/20170715182509/https://www.cia.gov/library/publications/the-world-factbook/geos/gz.html,30,,"[{""name"":""Arabic""},{""name"":""Hebrew"",""note"":""spoken by many Palestinians""},{""name"":""English"",""note"":""widely understood""}]",,,,,,96.5,1753327
Georgia,https://web.archive.org/web/20170729071626/https://www.cia.gov/library/publications/the-world-factbook/geos/gg.html,9.2,2014,"[{""name"":""Georgian"",""percent"":87.6,""note"":""official""},{""name"":""Azeri"",""percent"":6.2},{""name"":""Armenian"",""percent"":3.9},{""name"":""Russian"",""percent"":1.2},{""name"":""other"",""percent"":1}]",Abkhaz is the official language in Abkhazia,,,,,99.8,4928052
Germany,https://web.archive.org/web/20170729071627/https://www.cia.gov/library/publications/the-world-factbook/geos/gm.html,16.7,,"[{""name"":""German"",""note"":""official""}]","Danish, Frisian, Sorbian, and Romani are official minority languages; Low German, Danish, North Frisian, Sater Frisian, Lower Sorbian, Upper Sorbian, and Romani are recognized as regional languages under the European Charter for Regional or Minority Languages",,,,,,80722792
Ghana,https://web.archive.org/web/20170729071452/https://www.cia.gov/library/publications/the-world-factbook/geos/gh.html,24.2,2010,"[{""name"":""Asante"",""percent"":16},{""name"":""Ewe"",""percent"":14},{""name"":""Fante"",""percent"":11.6},{""name"":""Boron"",""percent"":4.9,""note"":""Brong""},{""name"":""Dagomba"",""percent"":4.4},{""name"":""Dangme"",""percent"":4.2},{""name"":""Dagarte"",""percent"":3.9,""note"":""Dagaba""},{""name"":""Kokomba"",""percent"":3.5},{""name"":""Akyem"",""percent"":3.2},{""name"":""Ga"",""percent"":3.1},{""name"":""other"",""percent"":31.2}]",English is the official language,,,,,76.6,26908262
Gibraltar,https://web.archive.org/web/20170714154144/https://www.cia.gov/library/publications/the-world-factbook/geos/gi.html,,,"[{""name"":""English"",""note"":""used in schools and for official purposes""},{""name"":""Spanish""},{""name"":""Italian""},{""name"":""Portuguese""}]",,,,,,,29328
Greece,https://web.archive.org/web/20170729071628/https://www.cia.gov/library/publications/the-world-factbook/geos/gr.html,36,,"[{""name"":""Greek"",""percent"":99,""note"":""official""},{""name"":""other"",""percent"":1,""note"":""includes English and French""}]",,,,,,97.7,10773253
Greenland,https://web.archive.org/web/20170714162934/https://www.cia.gov/library/publications/the-world-factbook/geos/gl.html,16.2,,"[{""name"":""Greenlandic"",""note"":""East Inuit; official""},{""name"":""Danish"",""note"":""official""},{""name"":""English""}]",,,,,,,57728
Grenada,https://web.archive.org/web/20170729071755/https://www.cia.gov/library/publications/the-world-factbook/geos/gj.html,38,,"[{""name"":""English"",""note"":""official""},{""name"":""French patois""}]",,,,,,,111219
Guam,https://web.archive.org/web/20170714164631/https://www.cia.gov/library/publications/the-world-factbook/geos/gq.html,23,2010,"[{""name"":""English"",""percent"":43.6},{""name"":""Filipino"",""percent"":21.2},{""name"":""Chamorro"",""percent"":17.8},{""name"":""other Pacific island languages"",""percent"":10},{""name"":""Asian languages"",""percent"":6.3},{""name"":""other"",""percent"":1.1}]",,,,,,,162742
Guatemala,https://web.archive.org/web/20170729071756/https://www.cia.gov/library/publications/the-world-factbook/geos/gt.html,59.3,,"[{""name"":""Spanish"",""percent"":60,""note"":""official""},{""name"":""Amerindian languages"",""percent"":40}]","there are 23 officially recognized Amerindian languages, including Quiche, Cakchiquel, Kekchi, Mam, Garifuna, and Xinca",,,,,81.5,15189958
Guernsey,https://web.archive.org/web/20170715191138/https://www.cia.gov/library/publications/the-world-factbook/geos/gk.html,,,"[{""name"":""English""},{""name"":""French""},{""name"":""Norman-French dialect spoken in country districts""}]",,,,,,,66297
Guinea,https://web.archive.org/web/20170729071453/https://www.cia.gov/library/publications/the-world-factbook/geos/gv.html,47,,"[{""name"":""French"",""note"":""official""}]",each ethnic group has its own language,,,,,30.4,12093349
Guinea-Bissau,https://web.archive.org/web/20170729071454/https://www.cia.gov/library/publications/the-world-factbook/geos/pu.html,67,,"[{""name"":""Crioulo"",""note"":""lingua franca""},{""name"":""Portuguese"",""note"":""official; largely used as a second or third language""},{""name"":""Pular"",""note"":""a Fula language""},{""name"":""Mandingo""}]",,,,,,59.9,1759159
Guyana,https://web.archive.org/web/20170729071757/https://www.cia.gov/library/publications/the-world-factbook/geos/gy.html,35,2014,"[{""name"":""English"",""note"":""official""},{""name"":""Guyanese Creole""},{""name"":""Amerindian languages"",""note"":""including Caribbean and Arawak languages""},{""name"":""Indian languages"",""note"":""including Caribbean Hindustani, a dialect of Hindi""},{""name"":""Chinese""}]",,,,,,88.5,735909
Haiti,https://web.archive.org/web/20170729071759/https://www.cia.gov/library/publications/the-world-factbook/geos/ha.html,58.5,,"[{""name"":""French"",""note"":""official""},{""name"":""Creole"",""note"":""official""}]",,,,,,60.7,10485800
Heard Island And Mcdonald Islands,https://web.archive.org/web/20170704160523/https://www.cia.gov/library/publications/the-world-factbook/geos/hm.html,,,,,,,,,,
Holy See (Vatican City),https://web.archive.org/web/20170729071629/https://www.cia.gov/library/publications/the-world-factbook/geos/vt.html,,,"[{""name"":""Italian""},{""name"":""Latin""},{""name"":""French""},{""name"":""various other languages""}]",,,,,,,1000
Honduras,https://web.archive.org/web/20170729071800/https://www.cia.gov/library/publications/the-world-factbook/geos/ho.html,29.6,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""Amerindian dialects""}]",,,,,,88.5,8893259
Hong Kong,https://web.archive.org/web/20170714173102/https://www.cia.gov/library/publications/the-world-factbook/geos/hk.html,19.6,2011,"[{""name"":""Cantonese"",""percent"":89.5,""note"":""official""},{""name"":""English"",""percent"":3.5,""note"":""official""},{""name"":""Mandarin"",""percent"":1.4,""note"":""official""},{""name"":""other Chinese dialects"",""percent"":4},{""name"":""other"",""percent"":1.6}]",,,,,,,7167403
Hungary,https://web.archive.org/web/20170729071631/https://www.cia.gov/library/publications/the-world-factbook/geos/hu.html,14.9,2011,"[{""name"":""Hungarian"",""percent"":99.6,""note"":""official""},{""name"":""English"",""percent"":16},{""name"":""German"",""percent"":11.2},{""name"":""Russian"",""percent"":1.6},{""name"":""Romanian"",""percent"":1.3},{""name"":""French"",""percent"":1.2},{""name"":""other"",""percent"":4.2}]",shares sum to more than 100% because some respondents gave more than one answer on the census; Hungarian is the mother tongue of 98.9% of Hungarian speakers,,,,,99.1,9874784
Iceland,https://web.archive.org/web/20170729071632/https://www.cia.gov/library/publications/the-world-factbook/geos/ic.html,,,"[{""name"":""Icelandic""},{""name"":""English""},{""name"":""Nordic languages""},{""name"":""German widely spoken""}]",,,,,,,335878
India,https://web.archive.org/web/20170729062501/https://www.cia.gov/library/publications/the-world-factbook/geos/in.html,21.9,,"[{""name"":""Hindi"",""percent"":41},{""name"":""Bengali"",""percent"":8.1},{""name"":""Telugu"",""percent"":7.2},{""name"":""Marathi"",""percent"":7},{""name"":""Tamil"",""percent"":5.9},{""name"":""Urdu"",""percent"":5},{""name"":""Gujarati"",""percent"":4.5},{""name"":""Kannada"",""percent"":3.7},{""name"":""Malayalam"",""percent"":3.2},{""name"":""Oriya"",""percent"":3.2},{""name"":""Punjabi"",""percent"":2.8},{""name"":""Assamese"",""percent"":1.3},{""name"":""Maithili"",""percent"":1.2},{""name"":""other"",""percent"":5.9}]","English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; Hindi is the most widely spoken language and primary tongue of 41% of the people; there are 14 other official languages: Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Malayalam, Kannada, Oriya, Punjabi, Assamese, Kashmiri, Sindhi, and Sanskrit; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language (2001 census)",,,,,71.2,1266883598
Indian Ocean,https://web.archive.org/web/20170701220138/https://www.cia.gov/library/publications/the-world-factbook/geos/xo.html,,,,,,,,,,
Indonesia,https://web.archive.org/web/20170729071535/https://www.cia.gov/library/publications/the-world-factbook/geos/id.html,10.9,,"[{""name"":""Bahasa Indonesia"",""note"":""official, modified form of Malay""},{""name"":""English""},{""name"":""Dutch""},{""name"":""local dialects"",""note"":""of which the most widely spoken is Javanese""}]",more than 700 languages are used in Indonesia,,,,,93.9,258316051
Iran,https://web.archive.org/web/20170729071707/https://www.cia.gov/library/publications/the-world-factbook/geos/ir.html,18.7,,"[{""name"":""Persian"",""note"":""official""},{""name"":""Azeri Turkic and Turkic dialects""},{""name"":""Kurdish""},{""name"":""Gilaki and Mazandarani""},{""name"":""Luri""},{""name"":""Balochi""},{""name"":""Arabic""},{""name"":""other""}]",,,,,,86.8,82801633
Iraq,https://web.archive.org/web/20170729071708/https://www.cia.gov/library/publications/the-world-factbook/geos/iz.html,23,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""Kurdish"",""note"":""official""},{""name"":""Turkmen"",""note"":""a Turkish dialect""},{""name"":""Syriac"",""note"":""Neo-Aramaic""},{""name"":""and Armenian are official in areas where native speakers of these languages constitute a majority of the population"",""note"":""""}]",,,,,,79.7,38146025
Ireland,https://web.archive.org/web/20170729071633/https://www.cia.gov/library/publications/the-world-factbook/geos/ei.html,8.2,,"[{""name"":""English"",""note"":""official, the language generally used""},{""name"":""Irish"",""breakdown"":[{""name"":""official""},{""name"":""spoken by approximately of the population as a first or second language in 2011; mainly spoken in areas along the western coast"",""percent"":0}],""note"":""Gaelic or Gaeilge""}]",,,,,,,4952473
Isle Of Man,https://web.archive.org/web/20170715201100/https://www.cia.gov/library/publications/the-world-factbook/geos/im.html,,,"[{""name"":""English""},{""name"":""Manx Gaelic"",""breakdown"":[{""name"":""about of the population has some knowledge"",""percent"":2}]}]",,,,,,,88195
Israel,https://web.archive.org/web/20170729071709/https://www.cia.gov/library/publications/the-world-factbook/geos/is.html,22,,"[{""name"":""Hebrew"",""note"":""official""},{""name"":""Arabic"",""note"":""used officially for Arab minority""},{""name"":""English"",""note"":""most commonly used foreign language""}]",,,,,,97.8,8174527
Italy,https://web.archive.org/web/20170729071634/https://www.cia.gov/library/publications/the-world-factbook/geos/it.html,29.9,,"[{""name"":""Italian"",""note"":""official""},{""name"":""German"",""note"":""parts of Trentino-Alto Adige region are predominantly German speaking""},{""name"":""French"",""note"":""small French-speaking minority in Valle d'Aosta region""},{""name"":""Slovene"",""note"":""Slovene-speaking minority in the Trieste-Gorizia area""}]",,,,,,99.2,62007540
Jamaica,https://web.archive.org/web/20170729071801/https://www.cia.gov/library/publications/the-world-factbook/geos/jm.html,16.5,,"[{""name"":""English""},{""name"":""English patois""}]",,,,,,88.7,2970340
Jan Mayen,https://web.archive.org/web/20170716211843/https://www.cia.gov/library/publications/the-world-factbook/geos/jn.html,,,,,,,,,,
Japan,https://web.archive.org/web/20170729071536/https://www.cia.gov/library/publications/the-world-factbook/geos/ja.html,16.1,,"[{""name"":""Japanese""}]",,,,,,,126702133
Jersey,https://web.archive.org/web/20170715211218/https://www.cia.gov/library/publications/the-world-factbook/geos/je.html,,,"[{""name"":""English"",""percent"":94.5,""note"":""official""},{""name"":""Portuguese"",""percent"":4.6},{""name"":""other"",""percent"":0.9,""note"":""2001 census""}]",,,,,,,98069
Jordan,https://web.archive.org/web/20170729071710/https://www.cia.gov/library/publications/the-world-factbook/geos/jo.html,14.2,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English"",""note"":""widely understood among upper and middle classes""}]",,,,,,95.4,8185384
Kazakhstan,https://web.archive.org/web/20170729071729/https://www.cia.gov/library/publications/the-world-factbook/geos/kz.html,2.7,2009,"[{""name"":""Kazakh"",""percent"":74,""note"":""official, Qazaq; understand spoken language""},{""name"":""Russian"",""percent"":94.4,""note"":""official, used in everyday business, designated the \""language of interethnic communication\""; understand spoken language""}]",,,,,,99.8,18360353
Kenya,https://web.archive.org/web/20170729071454/https://www.cia.gov/library/publications/the-world-factbook/geos/ke.html,43.4,,"[{""name"":""English"",""note"":""official""},{""name"":""Kiswahili"",""note"":""official""},{""name"":""numerous indigenous languages""}]",,,,,,78,46790758
Kiribati,https://web.archive.org/web/20170729071537/https://www.cia.gov/library/publications/the-world-factbook/geos/kr.html,,,"[{""name"":""I-Kiribati""},{""name"":""English"",""note"":""official""}]",,,,,,,106925
"Korea, North",https://web.archive.org/web/20170729071538/https://www.cia.gov/library/publications/the-world-factbook/geos/kn.html,,,"[{""name"":""Korean""}]",,,,,,100,25115311
"Korea, South",https://web.archive.org/web/20170729071539/https://www.cia.gov/library/publications/the-world-factbook/geos/ks.html,12.5,,"[{""name"":""Korean""},{""name"":""English"",""note"":""widely taught in junior high and high school""}]",,,,,,,50924172
Kosovo,https://web.archive.org/web/20170729071636/https://www.cia.gov/library/publications/the-world-factbook/geos/kv.html,30,2011,"[{""name"":""Albanian"",""percent"":94.5,""note"":""official""},{""name"":""Bosnian"",""percent"":1.7},{""name"":""Serbian"",""percent"":1.6,""note"":""official""},{""name"":""Turkish"",""percent"":1.1},{""name"":""other"",""percent"":0.9,""note"":""includes Romani""},{""name"":""unspecified"",""percent"":0.1}]","in municipalities where a community's mother tongue is not one of Kosovo's official languages, the language of that community may be given official status according to the 2006 Law on the Use of Languages",,,,,91.9,1883018
Kuwait,https://web.archive.org/web/20170729071711/https://www.cia.gov/library/publications/the-world-factbook/geos/ku.html,,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English widely spoken""}]",,,,,,96.3,2832776
Kyrgyzstan,https://web.archive.org/web/20170729071730/https://www.cia.gov/library/publications/the-world-factbook/geos/kg.html,32.1,2009,"[{""name"":""Kyrgyz"",""percent"":71.4,""note"":""official""},{""name"":""Uzbek"",""percent"":14.4},{""name"":""Russian"",""percent"":9,""note"":""official""},{""name"":""other"",""percent"":5.2}]",,,,,,99.5,5727553
Laos,https://web.archive.org/web/20170729071540/https://www.cia.gov/library/publications/the-world-factbook/geos/la.html,22,,"[{""name"":""Lao"",""note"":""official""},{""name"":""French""},{""name"":""English""},{""name"":""various ethnic languages""}]",,,,,,79.9,7019073
Latvia,https://web.archive.org/web/20170729071637/https://www.cia.gov/library/publications/the-world-factbook/geos/lg.html,25.5,2011,"[{""name"":""Latvian"",""percent"":56.3,""note"":""official""},{""name"":""Russian"",""percent"":33.8},{""name"":""other"",""percent"":0.6,""note"":""includes Polish, Ukrainian, and Belarusian""},{""name"":""unspecified"",""percent"":9.4}]",data represent language usually spoken at home,,,,,99.9,1965686
Lebanon,https://web.archive.org/web/20170729071712/https://www.cia.gov/library/publications/the-world-factbook/geos/le.html,28.6,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""French""},{""name"":""English""},{""name"":""Armenian""}]",,,,,,93.9,6237738
Lesotho,https://web.archive.org/web/20170729071455/https://www.cia.gov/library/publications/the-world-factbook/geos/lt.html,57,,"[{""name"":""Sesotho"",""note"":""official; southern Sotho""},{""name"":""English"",""note"":""official""},{""name"":""Zulu""},{""name"":""Xhosa""}]",,,,,,79.4,1953070
Liberia,https://web.archive.org/web/20170729071457/https://www.cia.gov/library/publications/the-world-factbook/geos/li.html,54.1,,"[{""name"":""English"",""percent"":20,""note"":""official""},{""name"":""some ethnic group languages few of which can be written or used in correspondence"",""percent"":20}]",,,,,,47.6,4299944
Libya,https://web.archive.org/web/20170729071713/https://www.cia.gov/library/publications/the-world-factbook/geos/ly.html,,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""Italian""},{""name"":""English ; Berber"",""note"":""all widely understood in the major cities; Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq""}]",,,,,,91,6541948
Liechtenstein,https://web.archive.org/web/20170729071638/https://www.cia.gov/library/publications/the-world-factbook/geos/ls.html,,2010,"[{""name"":""German"",""percent"":94.5,""note"":""official; Alemannic is the main dialect""},{""name"":""Italian"",""percent"":1.1},{""name"":""other"",""percent"":4.3}]",,,,,,,37937
Lithuania,https://web.archive.org/web/20170729071639/https://www.cia.gov/library/publications/the-world-factbook/geos/lh.html,22.2,2011,"[{""name"":""Lithuanian"",""percent"":82,""note"":""official""},{""name"":""Russian"",""percent"":8},{""name"":""Polish"",""percent"":5.6},{""name"":""other"",""percent"":0.9},{""name"":""unspecified"",""percent"":3.5}]",,,,,,99.8,2854235
Luxembourg,https://web.archive.org/web/20170729071640/https://www.cia.gov/library/publications/the-world-factbook/geos/lu.html,,,"[{""name"":""Luxembourgish"",""percent"":88.8,""note"":""official administrative and judicial language and national language (spoken vernacular; ""},{""name"":""French"",""percent"":4.2,""note"":""official administrative, judicial, and legislative language""},{""name"":""Portuguese"",""percent"":2.3},{""name"":""German"",""percent"":1.1,""note"":""official administrative and judicial language""},{""name"":""other"",""percent"":3.5,""note"":""2011 est.""}]",,,,,,,582291
Macau,https://web.archive.org/web/20170714223452/https://www.cia.gov/library/publications/the-world-factbook/geos/mc.html,,2011,"[{""name"":""Cantonese"",""percent"":83.3},{""name"":""Mandarin"",""percent"":5},{""name"":""Hokkien"",""percent"":3.7},{""name"":""English"",""percent"":2.3},{""name"":""other Chinese dialects"",""percent"":2},{""name"":""Tagalog"",""percent"":1.7},{""name"":""Portuguese"",""percent"":0.7},{""name"":""other"",""percent"":1.3}]",Chinese and Portuguese are official languages,,,,,96.2,597425
Macedonia,https://web.archive.org/web/20170729071641/https://www.cia.gov/library/publications/the-world-factbook/geos/mk.html,21.5,2002,"[{""name"":""Macedonian"",""percent"":66.5,""note"":""official""},{""name"":""Albanian"",""percent"":25.1},{""name"":""Turkish"",""percent"":3.5},{""name"":""Romani"",""percent"":1.9},{""name"":""Serbian"",""percent"":1.2},{""name"":""other"",""percent"":1.8}]","minority languages are co-official with Macedonian in municipalities whre they are spoken by at least 20% of the population; Albanian is co-official in Tetovo, Brvenica, Vrapciste, and other municipalities; Turkish is co-official in Centar Zupa and Plasnica; Romani is co-official in Suto Orizari; Aromanian is co-official in Drusevo; Serbian is co-official in Cucer Sandevo",,,,,97.8,2100025
Madagascar,https://web.archive.org/web/20170729071501/https://www.cia.gov/library/publications/the-world-factbook/geos/ma.html,70.7,,"[{""name"":""French"",""note"":""official""},{""name"":""Malagasy"",""note"":""official""},{""name"":""English""}]",,,,,,64.7,24430325
Malawi,https://web.archive.org/web/20170729071506/https://www.cia.gov/library/publications/the-world-factbook/geos/mi.html,50.7,,"[{""name"":""English"",""note"":""official""},{""name"":""Chichewa"",""note"":""common""},{""name"":""Chinyanja""},{""name"":""Chiyao""},{""name"":""Chitumbuka""},{""name"":""Chilomwe""},{""name"":""Chinkhonde""},{""name"":""Chingoni""},{""name"":""Chisena""},{""name"":""Chitonga""},{""name"":""Chinyakyusa""},{""name"":""Chilambya""}]",,,,,,65.8,18570321
Malaysia,https://web.archive.org/web/20170729071541/https://www.cia.gov/library/publications/the-world-factbook/geos/my.html,3.8,,"[{""name"":""Bahasa Malaysia"",""note"":""official""},{""name"":""English""},{""name"":""Chinese"",""note"":""Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow""},{""name"":""Tamil""},{""name"":""Telugu""},{""name"":""Malayalam""},{""name"":""Panjabi""},{""name"":""Thai""}]",in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan,,,,,94.6,30949962
Maldives,https://web.archive.org/web/20170729071731/https://www.cia.gov/library/publications/the-world-factbook/geos/mv.html,16,,"[{""name"":""Dhivehi"",""note"":""official, dialect of Sinhala, script derived from Arabic""},{""name"":""English"",""note"":""spoken by most government officials""}]",,,,,,99.3,392960
Mali,https://web.archive.org/web/20170729071507/https://www.cia.gov/library/publications/the-world-factbook/geos/ml.html,36.1,2009,"[{""name"":""French"",""note"":""official""},{""name"":""Bambara"",""percent"":46.3},{""name"":""Peul/Foulfoulbe"",""percent"":9.4},{""name"":""Dogon"",""percent"":7.2},{""name"":""Maraka/Soninke"",""percent"":6.4},{""name"":""Malinke"",""percent"":5.6},{""name"":""Sonrhai/Djerma"",""percent"":5.6},{""name"":""Minianka"",""percent"":4.3},{""name"":""Tamacheq"",""percent"":3.5},{""name"":""Senoufo"",""percent"":2.6},{""name"":""Bobo"",""percent"":2.1},{""name"":""unspecified"",""percent"":0.7},{""name"":""other"",""percent"":6.3}]",Mali has 13 national languages in addition to its official language,,,,,38.7,17467108
Malta,https://web.archive.org/web/20170729071643/https://www.cia.gov/library/publications/the-world-factbook/geos/mt.html,16.3,2005,"[{""name"":""Maltese"",""percent"":90.1,""note"":""official""},{""name"":""English"",""percent"":6,""note"":""official""},{""name"":""multilingual"",""percent"":3},{""name"":""other"",""percent"":0.9}]",,,,,,94.4,415196
Marshall Islands,https://web.archive.org/web/20170729071542/https://www.cia.gov/library/publications/the-world-factbook/geos/rm.html,,,"[{""name"":""Marshallese"",""percent"":98.2,""note"":""official""},{""name"":""other languages"",""percent"":1.8,""note"":""1999 census""}]","English (official), widely spoken as a second language",,,,,,73376
Mauritania,https://web.archive.org/web/20170729071508/https://www.cia.gov/library/publications/the-world-factbook/geos/mr.html,31,,"[{""name"":""Arabic"",""note"":""official and national""},{""name"":""Pular""},{""name"":""Soninke""},{""name"":""Wolof"",""note"":""all national languages""},{""name"":""French""}]","the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya",,,,,52.1,3677293
Mauritius,https://web.archive.org/web/20170729071509/https://www.cia.gov/library/publications/the-world-factbook/geos/mp.html,8,2011,"[{""name"":""Creole"",""percent"":86.5},{""name"":""Bhojpuri"",""percent"":5.3},{""name"":""French"",""percent"":4.1},{""name"":""two languages"",""percent"":1.4},{""name"":""other"",""percent"":2.6,""breakdown"":[{""name"":""includes English""},{""name"":""the official language of the National Assembly""},{""name"":""which is spoken by less than of the population"",""percent"":1}]},{""name"":""unspecified"",""percent"":0.1}]",,,,,,90.6,1348242
Mexico,https://web.archive.org/web/20170729071802/https://www.cia.gov/library/publications/the-world-factbook/geos/mx.html,46.2,2005,"[{""name"":""Spanish only"",""percent"":92.7},{""name"":""Spanish and indigenous languages"",""percent"":5.7},{""name"":""indigenous only"",""percent"":0.8},{""name"":""unspecified"",""percent"":0.8}]","indigenous languages include various Mayan, Nahuatl, and other regional languages",,,,,95.1,123166749
"Micronesia, Federated States Of",https://web.archive.org/web/20170729071543/https://www.cia.gov/library/publications/the-world-factbook/geos/fm.html,26.7,,"[{""name"":""English"",""note"":""official and common language""},{""name"":""Chuukese""},{""name"":""Kosrean""},{""name"":""Pohnpeian""},{""name"":""Yapese""},{""name"":""Ulithian""},{""name"":""Woleaian""},{""name"":""Nukuoro""},{""name"":""Kapingamarangi""}]",,,,,,,104719
Moldova,https://web.archive.org/web/20170729071644/https://www.cia.gov/library/publications/the-world-factbook/geos/md.html,20.8,2014,"[{""name"":""Romanian"",""percent"":80.2,""breakdown"":[{""name"":""identify their mother tongue as Moldovan"",""percent"":56.7},{""name"":""which is virtually the same as Romanian; identify Romanian as their mother tongue"",""percent"":23.5}],""note"":""official""},{""name"":""Russian"",""percent"":9.7},{""name"":""Gagauz"",""percent"":4.2,""note"":""a Turkish language""},{""name"":""Ukrainian"",""percent"":3.9},{""name"":""Bulgarian"",""percent"":1.5},{""name"":""Romani"",""percent"":0.3},{""name"":""other"",""percent"":0.2}]",data represent mother tongue,,,,,99.4,3510485
Monaco,https://web.archive.org/web/20170729071645/https://www.cia.gov/library/publications/the-world-factbook/geos/mn.html,,,"[{""name"":""French"",""note"":""official""},{""name"":""English""},{""name"":""Italian""},{""name"":""Monegasque""}]",,,,,,,30581
Mongolia,https://web.archive.org/web/20170729071543/https://www.cia.gov/library/publications/the-world-factbook/geos/mg.html,21.6,1999,"[{""name"":""Mongolian"",""percent"":90,""note"":""official; Khalkha dialect is predominant""},{""name"":""Turkic""},{""name"":""Russian""}]",,,,,,98.4,3031330
Montenegro,https://web.archive.org/web/20170729071646/https://www.cia.gov/library/publications/the-world-factbook/geos/mj.html,8.6,2011,"[{""name"":""Serbian"",""percent"":42.9},{""name"":""Montenegrin"",""percent"":37,""note"":""official""},{""name"":""Bosnian"",""percent"":5.3},{""name"":""Albanian"",""percent"":5.3},{""name"":""Serbo-Croat"",""percent"":2},{""name"":""other"",""percent"":3.5},{""name"":""unspecified"",""percent"":4}]",,,,,,98.7,644578
Montserrat,https://web.archive.org/web/20170714230952/https://www.cia.gov/library/publications/the-world-factbook/geos/mh.html,,,"[{""name"":""English""}]",,,,,,,5267
Morocco,https://web.archive.org/web/20170729071714/https://www.cia.gov/library/publications/the-world-factbook/geos/mo.html,15,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""Berber languages , Tachelhit, Tarifit"",""note"":""Tamazight (official; ""},{""name"":""French"",""note"":""often the language of business, government, and diplomacy""}]",,,,,,68.5,33655786
Mozambique,https://web.archive.org/web/20170729071511/https://www.cia.gov/library/publications/the-world-factbook/geos/mz.html,46.1,2007,"[{""name"":""Emakhuwa"",""percent"":25.3},{""name"":""Portuguese"",""percent"":10.7,""note"":""official""},{""name"":""Xichangana"",""percent"":10.3},{""name"":""Cisena"",""percent"":7.5},{""name"":""Elomwe"",""percent"":7},{""name"":""Echuwabo"",""percent"":5.1},{""name"":""other Mozambican languages"",""percent"":30.1},{""name"":""other"",""percent"":0.3},{""name"":""unspecified"",""percent"":3.7}]",,,,,,58.8,25930150
